county,state,deaths,pop
snohomish,washington,567,713335
cook,illinois,10525,5194675
orange,california,4969,3010232
maricopa,arizona,9882,3817117
los angeles,california,23946,9818605
santa clara,california,2069,1781642
suffolk,massachusetts,1820,722023
san francisco,california,541,805235
dane,wisconsin,325,488073
san diego,california,3706,3095313
bexar,texas,3485,1714773
douglas,nebraska,700,517110
humboldt,california,38,134623
sacramento,california,1663,1418788
solano,california,249,413344
spokane,washington,625,471221
salt lake,utah,849,1029655
marin,california,228,252409
napa,california,81,136484
sonoma,california,318,483878
washington,oregon,231,529710
king,washington,1517,1931249
alameda,california,1491,1510271
hillsborough,florida,1713,1229226
manatee,florida,666,322833
placer,california,289,348432
san mateo,california,564,718451
fulton,georgia,1368,920581
norfolk,massachusetts,1773,670850
grafton,new hampshire,26,89118
walla walla,washington,64,58781
contra costa,california,800,1049025
wake,north carolina,730,900993
bergen,new jersey,2829,905116
westchester,new york,2258,949113
fort bend,texas,662,585375
chelan,washington,67,72453
douglas,colorado,253,285465
jefferson,colorado,750,534543
santa rosa,florida,285,151372
montgomery,maryland,1523,971777
middlesex,massachusetts,3721,1503085
clark,nevada,4300,1951269
washoe,nevada,669,421407
nassau,new york,3144,1339532
williamson,tennessee,217,183182
harris,texas,6217,4092459
pinal,arizona,872,375770
yolo,california,208,200849
denver,colorado,806,600158
eagle,colorado,22,52197
el paso,colorado,791,622263
broward,florida,2904,1748066
lee,florida,959,618754
polk,georgia,94,41475
honolulu,hawaii,374,953207
marion,indiana,1801,903393
fayette,kentucky,307,295803
ramsey,minnesota,864,508640
camden,new jersey,1268,513657
rockland,new york,747,311687
chatham,north carolina,87,63505
tulsa,oklahoma,1033,603403
delaware,pennsylvania,1388,558979
wayne,pennsylvania,77,52822
charleston,south carolina,501,350209
kershaw,south carolina,140,61697
davis,utah,166,306479
washington,utah,204,138115
clark,washington,261,425363
jefferson,washington,3,29872
pierce,washington,649,795225
fresno,california,1678,930450
madera,california,240,150865
riverside,california,4574,2189641
santa cruz,california,207,262382
district of columbia,district of columbia,1106,601723
charlotte,florida,417,159978
okaloosa,florida,361,180822
volusia,florida,792,494593
cobb,georgia,1045,688078
gwinnett,georgia,1143,805321
johnson,kansas,750,544179
berkshire,massachusetts,282,131219
st. louis,missouri,2184,998954
rockingham,new hampshire,250,295223
saratoga,new york,164,219607
jackson,oregon,131,203206
klamath,oregon,59,66380
montgomery,pennsylvania,1663,799874
bennington,vermont,12,37125
fairfax,virginia,1073,1081726
kittitas,washington,33,40915
fairfield,connecticut,2165,916829
cherokee,georgia,316,214346
hendricks,indiana,332,145448
johnson,iowa,83,130882
harrison,kentucky,22,18846
jefferson,kentucky,1178,741096
harford,maryland,272,244826
worcester,massachusetts,2190,798552
carver,minnesota,45,91042
passaic,new jersey,1863,501226
suffolk,new york,3352,1493350
ulster,new york,249,182493
douglas,oregon,69,107667
marion,oregon,302,315335
spartanburg,south carolina,802,284307
davidson,tennessee,931,626681
shelby,tennessee,1620,927644
kitsap,washington,105,251133
pima,arizona,2395,980263
shasta,california,220,177223
arapahoe,colorado,773,572003
larimer,colorado,233,299630
dekalb,georgia,998,691893
fayette,georgia,168,106567
floyd,georgia,223,96317
noble,indiana,86,47536
pottawattamie,iowa,166,93158
prince george's,maryland,1457,863420
hudson,new jersey,2221,634266
monmouth,new jersey,1581,630380
union,new jersey,1931,536499
cuyahoga,ohio,2100,1280122
monroe,pennsylvania,300,169842
collin,texas,820,782341
virginia beach city,virginia,386,437994
pierce,wisconsin,42,41019
san joaquin,california,1346,685306
ventura,california,1009,823318
gunnison,colorado,7,15324
alachua,florida,275,247336
collier,florida,528,321520
nassau,florida,124,73314
pasco,florida,743,464697
pinellas,florida,1609,916542
charlton,georgia,33,12171
kane,illinois,818,515269
mchenry,illinois,310,308760
adams,indiana,55,34387
boone,indiana,105,56640
essex,massachusetts,2351,743159
oakland,michigan,2210,1202362
wayne,michigan,4651,1820584
anoka,minnesota,431,330844
burlington,new jersey,835,448734
multnomah,oregon,586,735334
philadelphia,pennsylvania,3496,1526006
beadle,south dakota,40,17398
charles mix,south dakota,22,9129
davison,south dakota,67,19504
minnehaha,south dakota,352,169468
sullivan,tennessee,290,156823
dallas,texas,3985,2368139
montgomery,texas,562,455746
tarrant,texas,3419,1809034
weber,utah,199,231236
loudoun,virginia,274,312311
skagit,washington,67,116901
whatcom,washington,91,201140
jefferson,arkansas,167,77435
stanislaus,california,1044,514453
pitkin,colorado,4,17148
new castle,delaware,809,538479
miami-dade,florida,6182,2496435
st. johns,florida,209,190039
bartow,georgia,223,100157
lee,georgia,58,28298
lowndes,georgia,208,109233
lake,illinois,1046,703462
howard,indiana,219,82752
johnson,indiana,391,139654
st. joseph,indiana,567,266931
baltimore,maryland,1474,805029
olmsted,minnesota,97,144248
forrest,mississippi,149,74934
middlesex,new jersey,2307,809858
bernalillo,new mexico,929,662564
santa fe,new mexico,145,144170
socorro,new mexico,56,17866
monroe,new york,1050,744344
ward,north dakota,194,61675
stark,ohio,907,375586
deschutes,oregon,73,157733
linn,oregon,66,116672
polk,oregon,52,75403
umatilla,oregon,84,75889
bucks,pennsylvania,1252,625249
lancaster,south carolina,167,76652
bon homme,south dakota,27,7070
gregg,texas,353,121730
chittenden,vermont,101,156545
arlington,virginia,252,207627
island,washington,30,78506
thurston,washington,94,252264
fond du lac,wisconsin,121,101633
waukesha,wisconsin,574,389891
sheridan,wyoming,31,29116
pulaski,arkansas,652,382748
tulare,california,836,442179
adams,colorado,701,441603
litchfield,connecticut,293,189927
clay,florida,340,190865
duval,florida,1398,864263
palm beach,florida,2770,1320134
sarasota,florida,812,379448
seminole,florida,489,422718
carroll,iowa,52,20816
wyandotte,kansas,290,157505
montgomery,kentucky,31,26499
androscoggin,maine,70,107702
ingham,michigan,349,280895
kent,michigan,793,602622
montcalm,michigan,108,63342
st. clair,michigan,389,163040
washtenaw,michigan,278,344791
dakota,minnesota,438,398552
hennepin,minnesota,1707,1152425
stearns,minnesota,220,150642
greene,missouri,464,275174
cass,nebraska,17,25241
carson city,nevada,123,55274
essex,new jersey,2903,783969
morris,new jersey,1214,492276
albany,new york,347,304204
delaware,new york,37,47980
dutchess,new york,442,297488
herkimer,new york,107,64519
orange,new york,706,372813
cabarrus,north carolina,251,178011
forsyth,north carolina,374,350670
johnston,north carolina,213,168878
mecklenburg,north carolina,940,919628
onslow,north carolina,142,177772
trumbull,ohio,465,210312
clackamas,oregon,210,375992
northampton,pennsylvania,694,297735
pike,pennsylvania,54,57369
knox,tennessee,633,432226
alexandria city,virginia,134,139966
hanover,virginia,154,99863
james city,virginia,72,67009
prince edward,virginia,34,23368
prince william,virginia,482,402002
columbia,washington,5,4078
grays harbor,washington,63,72797
yakima,washington,446,243231
elmore,alabama,205,79303
jefferson,alabama,1517,658466
limestone,alabama,150,82782
montgomery,alabama,585,229363
tuscaloosa,alabama,451,194656
san benito,california,63,55269
clear creek,colorado,3,9088
pueblo,colorado,377,159063
routt,colorado,20,23509
summit,colorado,8,27994
weld,colorado,334,252825
orange,florida,1251,1145956
osceola,florida,500,268685
gordon,georgia,114,55186
henry,georgia,323,203922
ada,idaho,462,392365
harrison,iowa,73,14928
butler,kansas,86,65880
cumberland,maine,189,281674
anne arundel,maryland,595,537656
charles,maryland,190,146551
bay,michigan,323,107771
charlevoix,michigan,20,25949
leelanau,michigan,18,21708
macomb,michigan,2260,840978
wright,minnesota,135,124700
copiah,mississippi,65,29449
leflore,mississippi,125,32317
pearl river,mississippi,144,55834
henry,missouri,38,22272
gallatin,montana,62,89513
lewis and clark,montana,87,63395
silver bow,montana,85,34200
yellowstone,montana,263,147972
ocean,new jersey,2115,576567
schenectady,new york,194,154727
wayne,north carolina,243,122623
oklahoma,oklahoma,1194,3751351
chester,pennsylvania,777,498886
cumberland,pennsylvania,512,235406
washington,pennsylvania,293,207820
mccook,south dakota,25,5618
hamilton,tennessee,491,336463
jefferson,tennessee,125,51407
rutherford,tennessee,428,262604
bell,texas,429,310235
el paso,texas,2658,800647
galveston,texas,411,291309
smith,texas,467,209714
travis,texas,997,1024266
harrisonburg city,virginia,95,48914
grant,washington,119,89120
milwaukee,wisconsin,1345,947735
racine,wisconsin,369,195408
sheboygan,wisconsin,150,115507
fremont,wyoming,84,40123
baldwin,alabama,306,182265
graham,arizona,78,37220
san luis obispo,california,260,269637
boulder,colorado,254,294567
mesa,colorado,212,146723
hartford,connecticut,2394,894014
new haven,connecticut,2069,862477
coweta,georgia,217,127317
kauai,hawaii,2,67091
blaine,idaho,18,21376
teton,idaho,4,10170
cumberland,illinois,31,11048
dupage,illinois,1351,916924
sangamon,illinois,273,197465
st. clair,illinois,553,270056
woodford,illinois,87,38664
laporte,indiana,211,111467
wells,indiana,83,27636
dallas,iowa,97,66135
franklin,kansas,43,25992
bourbon,kentucky,18,19985
nelson,kentucky,52,43437
carroll,maryland,234,167134
barnstable,massachusetts,461,215888
bristol,massachusetts,1701,548285
monroe,michigan,238,152021
renville,minnesota,43,15730
missoula,montana,93,109299
mercer,new jersey,933,366513
sandoval,new mexico,228,131561
broome,new york,354,200600
tioga,new york,61,51125
tompkins,new york,50,101564
brunswick,north carolina,152,107431
craven,north carolina,123,103505
harnett,north carolina,169,114678
belmont,ohio,163,70400
butler,ohio,579,368130
franklin,ohio,1385,1163414
lorain,ohio,479,301356
summit,ohio,957,541781
tuscarawas,ohio,241,92582
jackson,oklahoma,56,26446
allegheny,pennsylvania,1901,1223348
beaufort,south carolina,204,162233
lexington,south carolina,480,262391
campbell,tennessee,63,40716
brazoria,texas,488,313166
hays,texas,241,157107
summit,utah,12,36324
washington,vermont,15,59534
windsor,vermont,12,56670
chesterfield,virginia,423,316236
spotsylvania,virginia,115,122397
klickitat,washington,9,20318
winnebago,wisconsin,216,166994
lee,alabama,168,140247
shelby,alabama,246,195085
garland,arkansas,259,96024
saline,arkansas,166,107118
san bernardino,california,4652,2035210
santa barbara,california,453,423895
garfield,colorado,39,56389
baker,florida,62,27115
citrus,florida,444,141236
clarke,georgia,144,116714
clayton,georgia,468,259424
dougherty,georgia,303,94565
newton,georgia,237,99958
maui,hawaii,51,154834
clinton,illinois,99,37762
whiteside,illinois,208,58498
winnebago,illinois,499,295266
hamilton,indiana,426,274569
allamakee,iowa,51,14330
polk,iowa,619,430640
clark,kentucky,29,35613
lincoln,maine,2,34457
baltimore city,maryland,1035,620961
howard,maryland,233,287085
hampden,massachusetts,1496,463490
plymouth,massachusetts,1411,494919
ottawa,michigan,398,263801
waseca,minnesota,21,19136
washington,minnesota,278,238136
hinds,mississippi,414,245285
hillsborough,new hampshire,623,400721
erie,new york,1752,919040
greene,new york,74,49221
montgomery,new york,120,50219
putnam,new york,91,99710
watauga,north carolina,31,51079
wilson,north carolina,172,81234
lucas,ohio,781,441815
medina,ohio,261,172332
cleveland,oklahoma,401,255755
kay,oklahoma,126,46562
payne,oklahoma,71,77350
yamhill,oregon,75,99193
lehigh,pennsylvania,837,349497
luzerne,pennsylvania,794,320918
anderson,south carolina,517,187126
greenville,south carolina,996,451225
horry,south carolina,571,269291
denton,texas,748,662614
utah,utah,381,2763885
lewis,washington,64,75455
lincoln,washington,8,10570
fairbanks north star borough,alaska,37,97581
cleburne,arkansas,74,25970
cleveland,arkansas,25,8689
desha,arkansas,24,13008
lincoln,arkansas,48,14134
nevada,california,89,98764
escambia,florida,679,297619
lake,florida,633,297052
forsyth,georgia,188,175511
hall,georgia,464,179684
paulding,georgia,212,142324
troup,georgia,225,67044
peoria,illinois,318,186494
will,illinois,1053,677560
bartholomew,indiana,160,76794
floyd,indiana,181,74578
frederick,maryland,320,233385
talbot,maryland,37,37782
benton,minnesota,97,38451
blue earth,minnesota,41,64013
hancock,mississippi,86,43929
monroe,mississippi,133,36989
cass,missouri,107,99478
carroll,new hampshire,9,47818
hunterdon,new jersey,172,128349
somerset,new jersey,828,323444
allegany,new york,84,48946
onondaga,new york,667,467026
ontario,new york,92,107931
durham,north carolina,223,267587
geauga,ohio,148,93389
canadian,oklahoma,168,115541
benton,oregon,19,85579
fairfield,south carolina,79,23956
sevier,tennessee,175,89889
bowie,texas,212,92565
matagorda,texas,109,36702
tooele,utah,41,58218
wasatch,utah,21,23530
orange,vermont,3,28936
stafford,virginia,75,128961
york,virginia,52,65464
outagamie,wisconsin,218,176695
wood,wisconsin,94,74749
madison,alabama,501,334811
st. clair,alabama,237,83593
ketchikan gateway borough,alaska,2,13477
navajo,arizona,532,107449
kern,california,1354,839631
monterey,california,381,415057
sussex,delaware,483,197145
brevard,florida,862,543376
polk,florida,1310,602095
richmond,georgia,502,200549
whitfield,georgia,244,102599
hawaii,hawaii,53,1360301
madison,idaho,27,37536
franklin,indiana,36,23087
lake,indiana,1000,496005
adair,iowa,32,7682
black hawk,iowa,307,131090
douglas,kansas,87,110826
ford,kansas,74,33848
lyon,kentucky,19,8314
kennebec,maine,68,122151
oxford,maine,62,57833
york,maine,130,197131
jackson,michigan,292,160248
otsego,michigan,36,24164
martin,minnesota,31,20840
nicollet,minnesota,43,32727
harrison,mississippi,306,187105
jackson,mississippi,246,139668
boone,missouri,92,162642
cole,missouri,122,75990
jackson,missouri,417,674158
knox,nebraska,12,8701
sarpy,nebraska,130,158840
gloucester,new jersey,611,288288
warren,new jersey,234,108692
taos,new mexico,51,32937
clinton,new york,33,82128
rensselaer,new york,139,159429
sullivan,new york,71,77547
wyoming,new york,51,42155
iredell,north carolina,206,159437
sampson,north carolina,108,63431
burleigh,north dakota,191,81308
cass,north dakota,205,149778
coshocton,ohio,58,36901
darke,ohio,124,52959
lake,ohio,368,230041
mahoning,ohio,585,238823
pawnee,oklahoma,48,16577
lane,oregon,144,351715
beaver,pennsylvania,376,170539
calhoun,south carolina,36,15175
richland,south carolina,546,384504
york,south carolina,377,226073
brazos,texas,249,194851
ellis,texas,311,149610
lubbock,texas,784,278831
charlottesville city,virginia,55,43475
goochland,virginia,23,21717
henrico,virginia,603,306935
williamsburg city,virginia,12,14068
franklin,washington,110,78163
mason,washington,29,60699
jefferson,west virginia,50,53498
kenosha,wisconsin,322,166426
laramie,wyoming,113,91738
park,wyoming,30,28205
calhoun,alabama,313,118572
talladega,alabama,175,82291
kenai peninsula borough,alaska,19,55400
coconino,arizona,329,134421
bradley,arkansas,32,11508
faulkner,arkansas,161,113237
washington,arkansas,347,203065
mendocino,california,48,87841
yuma,colorado,17,10043
middlesex,connecticut,362,165676
kent,delaware,334,162310
leon,florida,317,275487
sumter,florida,275,93420
walton,florida,88,55043
columbia,georgia,202,124053
houston,georgia,253,139900
twin falls,idaho,127,77230
jackson,illinois,74,60218
kankakee,illinois,215,113449
kendall,illinois,100,114736
lasalle,illinois,294,113924
madison,illinois,591,269282
washington,illinois,31,14716
williamson,illinois,140,66357
clark,indiana,200,110232
fayette,indiana,64,24277
jennings,indiana,50,28525
madison,indiana,358,131636
washington,iowa,50,21704
winneshiek,iowa,33,21056
leavenworth,kansas,91,76227
franklin,kentucky,46,49285
kenton,kentucky,201,159720
warren,kentucky,169,113792
penobscot,maine,90,153923
franklin,massachusetts,113,71372
rice,minnesota,104,64142
bolivar,mississippi,131,34145
coahoma,mississippi,79,26151
desoto,mississippi,256,161252
madison,mississippi,215,95203
perry,mississippi,38,12250
st. charles,missouri,479,360485
st. louis city,missouri,482,319294
adams,nebraska,43,31364
lincoln,nebraska,54,36288
belknap,new hampshire,98,60088
merrimack,new hampshire,113,146445
atlantic,new jersey,664,274549
chenango,new york,75,50477
essex,new york,26,39370
hamilton,new york,2,4836
jefferson,new york,65,116229
livingston,new york,58,65393
warren,new york,57,65707
washington,new york,56,63216
gaston,north carolina,420,206086
guilford,north carolina,693,488406
hoke,north carolina,55,46952
lincoln,north carolina,85,78265
moore,north carolina,187,88247
new hanover,north carolina,164,202667
morton,north dakota,100,27471
ashland,ohio,95,53139
clark,ohio,336,138333
delaware,ohio,136,174214
huron,ohio,118,59626
miami,ohio,215,102506
adams,pennsylvania,171,101407
berks,pennsylvania,997,411442
lackawanna,pennsylvania,458,214437
york,pennsylvania,783,434972
lee,south carolina,59,19220
cheatham,tennessee,55,39105
robertson,tennessee,131,66283
sumner,tennessee,347,160645
lavaca,texas,76,19263
mclennan,texas,470,234906
medina,texas,103,46006
rusk,texas,107,53330
webb,texas,834,250304
wichita,texas,375,131500
williamson,texas,463,422679
box elder,utah,50,49975
cache,utah,45,112656
charles city,virginia,15,7256
richmond city,virginia,258,204214
benton,washington,216,175177
mercer,west virginia,125,62264
brown,wisconsin,283,248007
la crosse,wisconsin,82,114638
washington,wisconsin,162,131887
teton,wyoming,9,21294
chambers,alabama,123,34215
mobile,alabama,804,412992
walker,alabama,279,67023
santa cruz,arizona,176,47420
yavapai,arizona,503,211033
benton,arkansas,414,221339
boone,arkansas,80,36903
clark,arkansas,41,22995
craighead,arkansas,178,96443
crittenden,arkansas,96,50902
grant,arkansas,32,17853
greene,arkansas,75,42090
independence,arkansas,123,36647
poinsett,arkansas,77,24583
polk,arkansas,72,20662
pope,arkansas,107,61754
searcy,arkansas,18,8195
sebastian,arkansas,274,125744
sevier,arkansas,29,17058
van buren,arkansas,23,17295
crowley,colorado,15,5823
grand,colorado,7,14843
morgan,colorado,93,28159
tolland,connecticut,182,152691
windham,connecticut,191,118428
hernando,florida,462,172778
indian river,florida,299,138028
jackson,florida,157,49746
martin,florida,320,146318
bibb,georgia,445,155547
early,georgia,48,11008
effingham,georgia,68,52250
glynn,georgia,172,79626
laurens,georgia,167,48434
peach,georgia,59,27695
rockdale,georgia,171,85215
owen,indiana,58,21575
tippecanoe,indiana,219,172780
wayne,indiana,202,68917
dubuque,iowa,207,93653
muscatine,iowa,99,42745
cherokee,kansas,52,21603
linn,kansas,12,9656
morris,kansas,22,5923
sedgwick,kansas,743,498365
christian,kentucky,104,73955
daviess,kentucky,182,96656
henderson,kentucky,75,46250
pulaski,kentucky,101,63063
