CBSA,NewDeaths
10100,2
10140,1
10180,6
10220,3
10300,2
10380,0
10420,16
10460,1
10500,9
10540,2
10580,12
10620,3
10660,1
10700,6
10740,14
10760,4
10780,4
10820,2
10860,2
10900,18
10940,2
10980,1
11020,5
11060,1
11100,13
11140,1
11180,2
11220,2
11260,3
11380,1
11420,2
11460,4
11500,6
11540,3
11580,1
11620,7
11640,0
11660,1
11700,7
11740,7
11780,8
11820,0
11860,0
11900,3
11940,1
11980,3
12020,3
12060,67
12100,6
12120,2
12140,2
12180,4
12220,3
12260,10
12300,1
12380,1
12420,18
12460,1
12540,18
12580,23
12620,3
12660,1
12680,1
12700,5
12740,0
12780,2
12860,4
12900,2
12940,12
12980,3
13020,4
13060,2
13100,1
13140,6
13180,4
13220,2
13260,4
13300,1
13340,2
13380,2
13420,1
13460,1
13500,1
13540,0
13620,1
13660,1
13700,1
13720,3
13740,3
13780,4
13820,31
13900,5
13940,1
13980,4
14010,4
14020,7
14100,3
14140,3
14160,2
14180,2
14220,1
14260,9
14300,1
14380,1
14420,1
14460,136
14500,4
14540,4
14580,1
14620,2
14660,2
14700,2
14720,0
14740,1
14780,1
14820,1
14860,37
15020,1
15060,0
15100,1
15140,1
15180,19
15220,2
15260,3
15340,3
15380,18
15420,1
15460,2
15500,7
15540,2
15580,3
15620,1
15660,1
15680,2
15700,1
15740,1
15780,1
15820,1
15860,1
15940,15
15980,8
16020,3
16060,3
16100,2
16140,2
16180,3
16220,3
16260,1
16300,5
16340,1
16380,2
16420,1
16460,3
16500,1
16540,4
16580,2
16620,7
16660,2
16700,12
16740,27
16820,5
16860,8
16940,2
16980,111
17020,3
17060,4
17140,41
17220,2
17260,1
17300,4
17340,1
17380,1
17420,3
17460,39
17500,1
17540,1
17580,1
17620,0
17640,0
17660,3
17700,10
17740,2
17780,3
17820,14
17860,3
17900,16
17980,7
18020,5
18060,2
18100,1
18140,29
18180,2
18220,1
18260,4
18300,1
18380,1
18420,1
18460,1
18500,3
18580,10
18620,2
18660,2
18700,0
18740,3
18780,1
18820,3
18860,0
18880,5
18900,3
18980,6
19000,4
19060,7
19100,91
19140,4
19180,2
19220,3
19260,4
19300,8
19340,10
19420,1
19430,20
19460,10
19500,4
19540,2
19580,2
19620,4
19660,10
19700,2
19740,35
19760,1
19780,12
19820,123
19860,1
19940,2
19980,9
20020,14
20060,2
20100,3
20140,3
20180,3
20220,4
20260,8
20300,1
20340,4
20420,2
20460,2
20500,6
20540,2
20580,4
20660,1
20700,4
20740,4
20780,1
20820,2
20900,3
20940,7
20980,2
21020,2
21060,5
21120,2
21140,4
21180,0
21220,1
21260,2
21300,3
21340,25
21380,2
21420,5
21460,2
21500,6
21540,2
21580,1
21640,3
21660,2
21700,1
21740,0
21780,7
21820,1
21840,1
21860,1
21900,2
21980,2
22020,3
22060,1
22100,1
22140,5
22180,8
22220,9
22260,1
22280,2
22300,2
22340,1
22380,3
22420,8
22500,6
22520,11
22540,2
22580,3
22620,1
22660,3
22700,1
22780,1
22800,2
22820,2
22840,5
22860,1
22900,6
23060,8
23140,1
23180,1
23240,1
23300,2
23340,1
23380,3
23420,32
23460,9
23500,3
23540,5
23580,4
23620,1
23660,3
23700,5
23780,3
23820,1
23860,2
23900,3
23940,2
23980,4
24020,3
24060,2
24100,1
24140,3
24180,2
24220,3
24260,3
24300,5
24330,1
24340,18
24380,1
24420,1
24460,4
24500,4
24540,6
24580,4
24620,2
24660,11
24700,2
24740,2
24780,1
24820,3
24860,24
24900,1
24940,3
24980,1
25020,0
25060,6
25100,1
25180,6
25200,0
25220,3
25260,7
25300,1
25420,13
25460,2
25500,4
25540,46
25580,1
25620,3
25700,2
25720,1
25740,1
25760,1
25780,1
25820,1
25840,1
25860,9
25880,1
25900,2
25940,3
25980,1
26020,3
26090,2
26140,5
26220,1
26260,1
26300,3
26340,2
26380,4
26420,54
26460,1
26500,2
26540,2
26580,12
26620,19
26660,4
26700,1
26740,2
26780,2
26820,3
26860,3
26900,27
26940,1
26980,2
27020,3
27060,1
27100,4
27140,10
27160,2
27180,5
27220,0
27260,16
27300,2
27340,2
27380,2
27420,3
27460,3
27500,3
27530,4
27540,3
27580,0
27600,2
27620,4
